Solvent,Temperature_K,Density_g/cm^3,Source
n-Heptane,325.15,0.65627,"NIST Chemistry WebBook, SRD 69"
n-Heptane,326.15,0.65539,"NIST Chemistry WebBook, SRD 69"
n-Heptane,327.15,0.65451,"NIST Chemistry WebBook, SRD 69"
n-Heptane,328.15,0.65362,"NIST Chemistry WebBook, SRD 69"
n-Hexane,283.15,0.66835,"NIST Chemistry WebBook, SRD 69"
n-Hexane,284.15,0.66746,"NIST Chemistry WebBook, SRD 69"
n-Hexane,285.15,0.66656,"NIST Chemistry WebBook, SRD 69"
n-Hexane,286.15,0.66567,"NIST Chemistry WebBook, SRD 69"
n-Hexane,287.15,0.66478,"NIST Chemistry WebBook, SRD 69"
n-Hexane,288.15,0.66388,"NIST Chemistry WebBook, SRD 69"
n-Hexane,289.15,0.66298,"NIST Chemistry WebBook, SRD 69"
n-Hexane,290.15,0.66209,"NIST Chemistry WebBook, SRD 69"
n-Hexane,291.15,0.66119,"NIST Chemistry WebBook, SRD 69"
n-Hexane,292.15,0.66029,"NIST Chemistry WebBook, SRD 69"
n-Hexane,293.15,0.65938,"NIST Chemistry WebBook, SRD 69"
n-Hexane,294.15,0.65848,"NIST Chemistry WebBook, SRD 69"
n-Hexane,295.15,0.65758,"NIST Chemistry WebBook, SRD 69"
n-Hexane,296.15,0.65667,"NIST Chemistry WebBook, SRD 69"
n-Hexane,297.15,0.65576,"NIST Chemistry WebBook, SRD 69"
n-Hexane,298.15,0.65485,"NIST Chemistry WebBook, SRD 69"
n-Hexane,299.15,0.65394,"NIST Chemistry WebBook, SRD 69"
n-Hexane,300.15,0.65303,"NIST Chemistry WebBook, SRD 69"
n-Hexane,301.15,0.65212,"NIST Chemistry WebBook, SRD 69"
n-Hexane,302.15,0.65120,"NIST Chemistry WebBook, SRD 69"
n-Hexane,303.15,0.65029,"NIST Chemistry WebBook, SRD 69"
n-Hexane,304.15,0.64937,"NIST Chemistry WebBook, SRD 69"
n-Hexane,305.15,0.64845,"NIST Chemistry WebBook, SRD 69"
n-Hexane,306.15,0.64753,"NIST Chemistry WebBook, SRD 69"
n-Hexane,307.15,0.64661,"NIST Chemistry WebBook, SRD 69"
n-Hexane,308.15,0.64568,"NIST Chemistry WebBook, SRD 69"
